"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Description","Description Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Green Flashing","Green Flashing Date Modified UTC","Red Flashing","Red Flashing Date Modified UTC","ADA","ADA Date Modified UTC","Notes","Notes Date Modified UTC","Picture","Picture Date Modified UTC","COMPLETE","COMPLETE Date Modified UTC"
"afd6f826","-1","2022-08-04T21:18:25.695Z","","39.7194653359086","","-104.957590708836","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.71947977766618 -104.95807350645855;39.71945089415093 -104.95710791121319"}","","","","","","","","","","5","2022-08-04T21:18:22.02Z","","","","","","","","","true","2022-08-04T21:18:25.695Z"
"f8f1be33","-1","2022-08-04T21:21:00.157Z","","39.7201956687483","","-104.957118640049","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.71949009320444 -104.9571293688853;39.72090124429222 -104.95710791121319"}","","","","","","","","","","6","2022-08-04T21:20:58.622Z","","","","","","","","","true","2022-08-04T21:21:00.157Z"
"6a3d8b11","-1","2022-08-04T21:00:39.282Z","","39.7210662893169","","-104.956458816632","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72106628931693 -104.95698989401653;39.72106628931693 -104.95592773924663"}","","","","","","","","","","7","2022-08-04T21:00:37.784Z","","","","","","","","","true","2022-08-04T21:00:39.282Z"
"2ccd06ff","-1","2022-08-04T21:01:54.106Z","","39.7210456587103","","-104.955251822575","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.721049784832246 -104.95576680670574;39.7210415325884 -104.95473683844402"}","","","","","","","","","","8","2022-08-04T21:01:52.563Z","","","","","","","","","true","2022-08-04T21:01:54.106Z"
"7fafdecf","-1","2022-08-04T21:03:19.969Z","","39.7210580370751","","-104.954034099682","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.721058037075096 -104.95457590590313;39.721058037075096 -104.95349229346111"}","","","","","","","","","","8","2022-08-04T21:03:17.847Z","","","","","","","","","true","2022-08-04T21:03:19.969Z"
"8b87e259","-1","2022-08-04T21:05:15.317Z","","39.7210456587103","","-104.952837834461","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.721049784832246 -104.95338500510051;39.7210415325884 -104.95229066382244"}","","","","","","","","","","1","2022-08-04T21:05:15.317Z","","","","","","","","","",""
"a5180c17","-1","2022-08-04T21:07:33.109Z","","39.7201956687483","","-104.952119002445","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72090124429222 -104.95211900244549;39.71949009320444 -104.95211900244549"}","","","","","","","","","","10","2022-08-04T21:07:33.109Z","","","","","","","","","true","2022-08-04T21:06:33.481Z"
"32586004","-1","2022-08-04T21:06:56.28Z","","39.7201956686634","","-104.952306757077","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.71948184077396 -104.9523013926585;39.72090949655283 -104.95231212149456"}","","","","","","","","","","12","2022-08-04T21:06:55.036Z","","","","","","","","","true","2022-08-04T21:06:56.28Z"
"2d4a1540","-1","2022-08-04T21:05:08.386Z","","39.7209218749408","","-104.952821741207","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72090949655283 -104.95232285033062;39.720934253328764 -104.95332063208416"}","","","","","","","","","","3","2022-08-04T21:05:07.358Z","","","","","","","","","true","2022-08-04T21:05:08.386Z"
"73ee9682","-1","2022-08-04T21:03:26.498Z","","39.7209218749408","","-104.95401264201","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.720934253328764 -104.95350302229717;39.72090949655283 -104.95452226172283"}","","","","","","","","","","4","2022-08-04T21:03:25.575Z","","","","","","","","","true","2022-08-04T21:03:26.498Z"
