"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Location","Location Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Paid","Paid Date Modified UTC","ADA Placard","ADA Placard Date Modified UTC","City, Service Vehicle","City, Service Vehicle Date Modified UTC","Double Parked Car","Double Parked Car Date Modified UTC","Double Parked Truck","Double Parked Truck Date Modified UTC","Notes","Notes Date Modified UTC","Data Entry Complete","Data Entry Complete Date Modified UTC","Picture","Picture Date Modified UTC"
"ad82a316","-1","2022-06-29T19:01:52.987Z","","42.3516345468398","","-71.0719237102588","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35196359495938 -71.07082400456271;42.35183276914731 -71.07106540337405;42.351305498720244 -71.07302341595492"}","","1","","Boylston St","","Arlington to Berkeley","","North","","13","2022-06-29T19:01:50.73Z","2","2022-06-29T19:01:16.797Z","0","","1","2022-06-29T19:00:53.975Z","","","","","true","2022-06-29T19:01:52.987Z","",""
"f6cf8282","-1","2022-06-29T19:03:05.605Z","","42.3516741909706","","-71.073211170586","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35130748094817 -71.07303950920901;42.35204090099304 -71.07338283196292"}","","2","","Berkeley St","","Boylston to Newbury","","East","","5","2022-06-29T19:03:01.762Z","0","","0","","","","","","","","true","2022-06-29T19:03:05.605Z","",""
"72d89a7e","-1","2022-06-29T19:03:16.944Z","","42.3516484221874","","-71.0733291877826","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35200918570869 -71.07350084915957;42.35128765866602 -71.07315752640567"}","","3","","Berkeley","","Newbury to Boylston","","West","","0","","0","","0","","","","","","","","true","2022-06-29T19:03:16.944Z","",""
"46bd2fc8","-1","2022-06-29T19:05:47.978Z","","42.3510007564255","","-71.0741401831866","","{"strokeWeight":3;"strokeColor":"#009900";"type":"polyline";"path":"42.351275856705676 -71.07313725178986;42.35100032600609 -71.07414844458847;42.35072479409891 -71.07513817971497"}","","4","","Boylston St","","Berkeley to Clarendon","","North","","20","2022-06-29T19:05:47.278Z","2","2022-06-29T19:04:48.55Z","0","","","","1","2022-06-29T19:05:20.091Z","","","true","2022-06-29T19:05:47.978Z","",""
"bc43fc2a","-1","2022-06-29T19:06:49.301Z","","42.3510874522191","","-71.0753462089618","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35072470324313 -71.07515845433078;42.35145020119512 -71.07553396359286"}","","5","","Clarendon St","","Boylston to Newbury","","East","","6","2022-06-29T19:06:45.655Z","3","2022-06-29T19:06:45.029Z","0","","","","","","","","true","2022-06-29T19:06:49.301Z","",""
"e1cc0c9c","-1","2022-06-29T19:08:24.903Z","","42.3510537542063","","-71.0754722727855","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.351418485612676 -71.07565734520755;42.35068902279993 -71.07528720036349"}","","6","","Clarendon St","","Newbury to Boylston","","West","","9","2022-06-29T19:08:24.35Z","0","","0","","","","","","","","true","2022-06-29T19:08:24.903Z","",""
"f9a53a9c","-1","2022-06-29T19:10:08.466Z","","42.3504174537489","","-71.0763091219982","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35068505830501 -71.07529792919955;42.350149849192825 -71.07732031479678"}","","7","","Boylston St","","Clarendon to Dartmouth","","North","","8","2022-06-29T19:09:59.73Z","2","2022-06-29T19:09:47.993Z","0","","3","2022-06-29T19:10:05.434Z","","","","","true","2022-06-29T19:10:08.466Z","",""
"b9f765d6","-1","2022-06-29T19:10:37.459Z","","42.3505106192674","","-71.0774973405918","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35015381372151 -71.07732567921481;42.35086742481336 -71.07766900196872"}","","8","","Dartmouth St","","Boylston to Newbury","","East","","0","","0","","0","","","","","","","","true","2022-06-29T19:10:37.459Z","",""
"0283e001","-1","2022-06-29T19:11:23.654Z","","42.3504907967785","","-71.0775778068622","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.3508396734223 -71.07775483265719;42.35014192013469 -71.07740078106723"}","","9","","Dartmouth St","","Newbury to Boylston","","West","","6","2022-06-29T19:11:21.82Z","1","2022-06-29T19:11:05.626Z","0","","","","","","","","true","2022-06-29T19:11:23.654Z","",""
"81e32deb","-1","2022-06-29T19:13:36.305Z","","42.3498465613672","","-71.078446842583","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35013002654559 -71.07741150990329;42.34956309618879 -71.07948217526278"}","","10","","Boylston St","","Dartmouth to Exeter","","North","","12","2022-06-29T19:13:31.66Z","1","2022-06-29T19:12:25.968Z","0","","","","","","","","true","2022-06-29T19:13:36.305Z","",""
