"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Location","Location Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Paid","Paid Date Modified UTC","ADA Placard","ADA Placard Date Modified UTC","City, Service Vehicle","City, Service Vehicle Date Modified UTC","Double Parked Car","Double Parked Car Date Modified UTC","Double Parked Truck","Double Parked Truck Date Modified UTC","Notes","Notes Date Modified UTC","Complete","Complete Date Modified UTC","Picture","Picture Date Modified UTC"
"eeb31537","-1","2022-06-29T12:14:47.518Z","","42.3549705935033","","-71.0722992547865","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.355259981909995 -71.0724280008192;42.35468120509654 -71.07217050875377"}","","1","","Arlington St","","Beacon to Marlborough","","West","","4","2022-06-29T12:14:18.235Z","0","","0","","","","","","three of the four vehicles are construction trucks","2022-06-29T12:14:43.513Z","true","2022-06-29T12:14:47.518Z","",""
"a9248027","-1","2022-06-29T12:19:45.36Z","","42.3543006359496","","-71.0732380279417","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35459002744131 -71.07215977991771;42.354011244457936 -71.07431627596569"}","","2","","Marlborough St","","Arlington to Berkeley","","South","","30","2022-06-29T12:19:28.413Z","0","","0","","","","","","","","true","2022-06-29T12:19:45.36Z","",""
"bd3f1e43","-1","2022-06-29T12:20:43.833Z","","42.3536465281872","","-71.0741499790068","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.353995387314875 -71.07431627596569;42.35329766905959 -71.07398368204784"}","","3","","Berkeley St","","Marlborough to Commonwealth","","East","","6","2022-06-29T12:20:16.694Z","0","","0","","","","","","","","true","2022-06-29T12:20:43.833Z","",""
"ad281b7e","-1","2022-06-29T12:22:25.304Z","","42.3536108494246","","-71.0743055471296","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.353265954409416 -71.07413388575267;42.35395574443974 -71.07447720850658"}","","4","","Berkeley St","","Commonwealth to Marlborough","","West","","8","2022-06-29T12:22:05.942Z","0","","0","","","","","","","","true","2022-06-29T12:22:25.304Z","",""
"7c7a8682","-1","2022-06-29T12:24:15.276Z","","42.35369013597","","-71.0754749902601","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35395574443974 -71.07448793734264;42.35342452750033 -71.0764620431776"}","","5","","Marlborough St","","Berkeley to Clarendon","","South","","14","2022-06-29T12:24:08.595Z","0","","0","","","","","","","","true","2022-06-29T12:24:15.276Z","",""
"061b2107","-1","2022-06-29T12:25:15.163Z","","42.3530677365149","","-71.0763011106367","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.353416598855276 -71.0764620431776;42.35271887417456 -71.07614017809581"}","","6","","Clarendon St","","Marlborough to Commonwealth","","East","","5","2022-06-29T12:27:20.979Z","1","2022-06-29T12:25:34.802Z","0","","","","","","","","true","2022-06-29T12:25:15.163Z","",""
"1659e425","-1","2022-06-29T12:28:22.19Z","","42.3530360217487","","-71.0764781364317","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35268715923233 -71.07631183947277;42.3533848842651 -71.07664443339061"}","","7","","Clarendon St","","Commonwealth to Marlborough","","West","","5","2022-06-29T12:28:13.417Z","2","2022-06-29T12:28:15.414Z","0","","","","","","","","true","2022-06-29T12:28:22.19Z","",""
"7001c935","-1","2022-06-29T12:30:35.441Z","","42.3531113446993","","-71.0776314863081","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35337695561506 -71.07663370455455;42.35284573378354 -71.07862926806163"}","","8","","Marlborough St","","Clarendon to Dartmouth","","South","","28","2022-06-29T12:30:31.605Z","0","","0","","","","1","2022-06-29T12:28:44.674Z","","","true","2022-06-29T12:30:35.441Z","",""
"40c54cfa","-1","2022-06-29T12:31:34.503Z","","42.3524968682745","","-71.0784522422667","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.35284573378354 -71.07860781038951;42.35214800276546 -71.07829667414379"}","","9","","Dartmouth St","","Marlborough to Commonwealth","","East","","3","2022-06-29T12:31:13.665Z","0","","0","","","","","","","","true","2022-06-29T12:31:34.503Z","",""
"43e757f2","-1","2022-06-29T12:32:01.743Z","","42.3524691176248","","-71.0785488017912","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"42.352124216344215 -71.07838250483226;42.35281401890531 -71.07871509875011"}","","10","","Dartmouth St","","Commonwealth to Marlborough","","West","","3","2022-06-29T12:31:57.399Z","0","","0","","","","","","","","true","2022-06-29T12:32:01.743Z","",""
